,Longitude,Latitude
75,-79.9469554879,40.4414716475
76,-79.9469540024,40.4414713508
77,-79.9469525169,40.4414710541
78,-79.9469510314,40.4414707574
79,-79.9469495459,40.4414704607
80,-79.9469480604,40.441470164
81,-79.9469465749,40.4414698673
82,-79.9469450894,40.4414695706
83,-79.9469436039,40.4414692739
84,-79.9469421184,40.4414689772
85,-79.9469406329,40.4414686805
86,-79.9469391474,40.4414683838
87,-79.9469376619,40.4414680871
88,-79.9469361764,40.4414677904
89,-79.9469346909,40.4414674937
90,-79.9469332054,40.441467197
91,-79.9469317199,40.4414669003
92,-79.9469302344,40.4414666036
93,-79.946928749,40.4414663069
94,-79.9469272635,40.4414660102
95,-79.946925778,40.4414657135
96,-79.9469242925,40.4414654168
97,-79.946922807,40.4414651201
98,-79.9469213215,40.4414648234
99,-79.946919836,40.4414645267
100,-79.9469183505,40.44146423
101,-79.946916865,40.4414639333
102,-79.9469153795,40.4414636366
103,-79.946913894,40.4414633399
104,-79.9469124085,40.4414630432
105,-79.946910923,40.4414627465
106,-79.9469094375,40.4414624498
107,-79.946907952,40.4414621531
108,-79.9469064665,40.4414618564
109,-79.946904981,40.4414615597
110,-79.9469034955,40.441461263
111,-79.94690201,40.4414609663
112,-79.9469005246,40.4414606696
113,-79.9468990391,40.4414603729
114,-79.9468975536,40.4414600762
115,-79.9468960681,40.4414597795
116,-79.9468945826,40.4414594828
117,-79.9468930971,40.4414591861
118,-79.9468916116,40.4414588894
119,-79.9468901261,40.4414585927
120,-79.9468886406,40.441458296
121,-79.9468871551,40.4414579993
122,-79.9468856696,40.4414577026
123,-79.9468841841,40.4414574059
124,-79.9468826986,40.4414571092
125,-79.9468812131,40.4414568125
126,-79.9468797276,40.4414565158
127,-79.9468782421,40.4414562191
128,-79.9468767566,40.4414559224
129,-79.9468752711,40.4414556257
130,-79.9468737857,40.441455329
131,-79.9468723002,40.4414550323
132,-79.9468708147,40.4414547356
133,-79.9468693292,40.4414544389
134,-79.9468678437,40.4414541422
135,-79.9468663582,40.4414538455
136,-79.9468648727,40.4414535488
137,-79.9468633872,40.4414532521
138,-79.9468619017,40.4414529554
139,-79.9468604162,40.4414526587
140,-79.9468589307,40.441452362
141,-79.9468574452,40.4414520653
142,-79.9468559597,40.4414517686
143,-79.9468544742,40.4414514719
144,-79.9468529887,40.4414511752
145,-79.9468515032,40.4414508785
146,-79.9468500177,40.4414505818
147,-79.9468485322,40.4414502851
148,-79.9468470467,40.4414499884
149,-79.9468455613,40.4414496917
150,-79.9468440758,40.441449395
151,-79.9468425903,40.4414490983
152,-79.9468411048,40.4414488016
153,-79.9468396193,40.4414485049
154,-79.9468381338,40.4414482082
155,-79.9468366483,40.4414479115
156,-79.9468351628,40.4414476148
157,-79.9468336773,40.4414473181
158,-79.9468321918,40.4414470214
159,-79.9468307063,40.4414467247
160,-79.9468292208,40.441446428
161,-79.9468277353,40.4414461313
162,-79.9468262498,40.4414458346
163,-79.9468247643,40.4414455379
164,-79.9468232788,40.4414452412
165,-79.9468217933,40.4414449445
166,-79.9468203078,40.4414446478
167,-79.9468188224,40.4414443511
168,-79.9468173369,40.4414440544
169,-79.9468158514,40.4414437577
170,-79.9468143659,40.441443461
171,-79.9468128804,40.4414431643
172,-79.9468113949,40.4414428676
173,-79.9468099094,40.4414425709
174,-79.9468084239,40.4414422742
175,-79.9468069384,40.4414419775
176,-79.9468054529,40.4414416808
177,-79.9468039674,40.4414413841
178,-79.9468024819,40.4414410874
179,-79.9468009964,40.4414407907
180,-79.9467995109,40.441440494
181,-79.9467980254,40.4414401973
182,-79.9467965399,40.4414399006
183,-79.9467950544,40.4414396039
184,-79.946793569,40.4414393072
185,-79.9467920835,40.4414390105
186,-79.946790598,40.4414387138
187,-79.9467891125,40.4414384171
188,-79.946787627,40.4414381204
189,-79.9467861415,40.4414378237
190,-79.946784656,40.441437527
191,-79.9467831705,40.4414372303
192,-79.946781685,40.4414369336
193,-79.9467801995,40.4414366369
194,-79.946778714,40.4414363402
195,-79.9467772285,40.4414360435
196,-79.946775743,40.4414357468
197,-79.9467742575,40.4414354501
198,-79.946772772,40.4414351534
199,-79.9467712865,40.4414348567
200,-79.946769801,40.44143456
201,-79.9467683156,40.4414342633
202,-79.9467668301,40.4414339666
203,-79.9467653446,40.4414336699
204,-79.9467638591,40.4414333732
205,-79.9467623736,40.4414330765
206,-79.9467608881,40.4414327798
207,-79.9467594026,40.4414324831
208,-79.9467579171,40.4414321864
209,-79.9467564316,40.4414318897
210,-79.9467549461,40.441431593
211,-79.9467534606,40.4414312963
212,-79.9467519751,40.4414309996
213,-79.9467504896,40.4414307029
214,-79.9467490041,40.4414304062
215,-79.9467475186,40.4414301095
216,-79.9467460331,40.4414298128
217,-79.9467445476,40.4414295161
218,-79.9467430622,40.4414292194
219,-79.9467415767,40.4414289227
220,-79.9467400912,40.441428626
221,-79.9467386057,40.4414283293
222,-79.9467371202,40.4414280326
223,-79.9467356347,40.4414277359
224,-79.9467341492,40.4414274392
225,-79.9467326637,40.4414271425
226,-79.9467311782,40.4414268458
227,-79.9467296927,40.4414265491
228,-79.9467282072,40.4414262524
229,-79.9467267217,40.4414259557
230,-79.9467252362,40.441425659
231,-79.9467237507,40.4414253623
232,-79.9467222652,40.4414250656
233,-79.9467207797,40.4414247689
234,-79.9467192943,40.4414244722
235,-79.9467178088,40.4414241755
236,-79.9467163233,40.4414238788
237,-79.9467148378,40.4414235821
238,-79.9467133523,40.4414232854
239,-79.9467118668,40.4414229887
240,-79.9467103813,40.441422692
241,-79.9467088958,40.4414223953
242,-79.9467074103,40.4414220986
243,-79.9467059248,40.4414218019
244,-79.9467044393,40.4414215052
245,-79.9467029538,40.4414212085
246,-79.9467014683,40.4414209118
